x,y
      0.00,      2.85
      0.08,      2.94
      0.16,      2.81
      0.24,      2.21
      0.33,      2.08
      0.41,      1.86
      0.49,      1.67
      0.57,      2.14
      0.65,      1.70
      0.73,      1.24
      0.82,      1.43
      0.90,      1.30
      0.98,      1.36
      1.06,      0.84
      1.14,      0.78
      1.22,      0.68
      1.31,      0.93
      1.39,      1.01
      1.47,      1.13
      1.55,      0.59
      1.63,      0.64
      1.71,      0.74
      1.80,      0.85
      1.88,      0.80
      1.96,      0.76
      2.04,      0.90
      2.12,      0.66
      2.20,      0.80
      2.29,      0.36
      2.37,      0.48
      2.45,      0.27
      2.53,      0.79
      2.61,      0.93
      2.69,      0.52
      2.78,      0.64
      2.86,      0.27
      2.94,      0.66
      3.02,      0.22
      3.10,      0.27
      3.18,      0.39
      3.27,      0.59
      3.35,      0.26
      3.43,      0.33
      3.51,      0.32
      3.59,      0.45
      3.67,      0.26
      3.76,      0.91
      3.84,      0.55
      3.92,      0.60
      4.00,      0.55
