n10,n20,n50
0.2,0.25,0.2
0,0.05,0.1
0.1,0.1,0.12
0.1,0.1,0.14
0.3,0.2,0.16
0.1,0.15,0.26
0.3,0.15,0.12
0.1,0.05,0.06
0.4,0.25,0.2
0.1,0.1,0.14
0.1,0.15,0.18
0.2,0.25,0.2
0.2,0.2,0.14
0.1,0.15,0.2
0,0,0.04
0,0.05,0.04
0.1,0.05,0.08
0.3,0.3,0.24
0.1,0.1,0.16
0,0.15,0.14
0.1,0.1,0.08
0.2,0.15,0.14
0.1,0.15,0.24
0.2,0.15,0.12
0.2,0.2,0.14
0,0.05,0.08
0.4,0.2,0.18
0.4,0.2,0.14
0.1,0.2,0.14
0.1,0.2,0.18
0.2,0.15,0.12
0.1,0.15,0.16
0.2,0.15,0.2
0.1,0.15,0.14
0.5,0.3,0.22
0.1,0.15,0.24
0.1,0.1,0.1
0.3,0.2,0.16
0,0.05,0.1
0.3,0.3,0.22
0.1,0.05,0.12
0,0,0.12
0.2,0.2,0.12
0,0.1,0.1
0,0.1,0.18
0.1,0.1,0.2
0,0.05,0.14
0.4,0.35,0.2
0.1,0.1,0.12
0.2,0.15,0.14
0.2,0.1,0.2
0.6,0.4,0.24
0.1,0.1,0.12
0.1,0.25,0.24
0.1,0.25,0.2
0.2,0.2,0.18
0.1,0.2,0.2
0.1,0.15,0.12
0.4,0.3,0.24
0.2,0.2,0.18
0.1,0.1,0.1
0.2,0.25,0.2
0.5,0.4,0.18
0.3,0.25,0.2
0.1,0.15,0.12
0.1,0.05,0.16
0.2,0.15,0.16
0.3,0.3,0.18
0,0.05,0.12
0.1,0.15,0.2
0.2,0.25,0.18
0.2,0.15,0.14
0,0.05,0.1
0.3,0.25,0.32
0.1,0.05,0.14
0.1,0.2,0.22
0.2,0.1,0.24
0.1,0.1,0.14
0.3,0.2,0.22
0.5,0.25,0.24
0.5,0.3,0.16
0.2,0.15,0.08
0.1,0.1,0.16
0.4,0.3,0.24
0.1,0.15,0.1
0.3,0.2,0.16
0.2,0.2,0.18
0.1,0.25,0.18
0,0,0.06
0.1,0.1,0.12
0.2,0.1,0.18
0.3,0.15,0.12
0,0.05,0.08
0.3,0.2,0.18
0.2,0.2,0.22
0,0.1,0.14
0.1,0.15,0.16
0.4,0.35,0.3
0.2,0.2,0.18
0.2,0.2,0.14
0.4,0.2,0.14
0.1,0.1,0.1
0,0.1,0.12
0,0.15,0.22
0.1,0.15,0.18
0.2,0.2,0.18
0.2,0.2,0.14
0.3,0.2,0.2
0.2,0.1,0.1
0,0.2,0.3
0.2,0.25,0.18
0.2,0.25,0.16
0.1,0.25,0.16
0.1,0.15,0.18
0.2,0.15,0.22
0.2,0.15,0.18
0.3,0.25,0.18
0.1,0.05,0.06
0.2,0.2,0.24
0.4,0.4,0.24
0,0.25,0.24
0.2,0.2,0.18
0.1,0.05,0.2
0.2,0.2,0.22
0.2,0.2,0.14
0.4,0.2,0.16
0.3,0.2,0.22
0.2,0.15,0.12
0.4,0.3,0.14
0.3,0.15,0.14
0.2,0.2,0.16
0.3,0.2,0.24
0,0.15,0.16
0.2,0.1,0.2
0.1,0.15,0.12
0.3,0.2,0.16
0.2,0.2,0.18
0.1,0.05,0.04
0.3,0.2,0.2
0.1,0.05,0.06
0,0.15,0.16
0.1,0.15,0.16
0.2,0.2,0.12
0.3,0.2,0.18
0.1,0.1,0.12
0.1,0.1,0.12
0.1,0.1,0.16
0.2,0.25,0.16
0,0.05,0.12
0.2,0.2,0.2
0.3,0.2,0.14
0.1,0.15,0.24
0.2,0.25,0.16
0.3,0.35,0.28
0.5,0.3,0.22
0.3,0.15,0.16
0.2,0.25,0.24
0,0.1,0.14
0.1,0.1,0.16
0.2,0.15,0.2
0,0.15,0.12
0.3,0.25,0.18
0.2,0.2,0.18
0.2,0.15,0.2
0.2,0.15,0.08
0.2,0.2,0.18
0.1,0.05,0.06
0.1,0.25,0.16
0.2,0.15,0.2
0,0.1,0.12
0.3,0.2,0.22
0.3,0.2,0.16
0.1,0.1,0.06
0.1,0.2,0.14
0,0.05,0.06
0.2,0.25,0.22
0.2,0.15,0.2
0.2,0.15,0.22
0,0.05,0.12
0.2,0.2,0.14
0.2,0.25,0.2
0.2,0.3,0.22
0.2,0.3,0.3
0.2,0.15,0.18
0.1,0.2,0.28
0.2,0.2,0.2
0.2,0.3,0.18
0.1,0.1,0.16
0.4,0.35,0.3
0.2,0.25,0.14
0.2,0.2,0.26
0.1,0.15,0.18
0.2,0.15,0.22
0.2,0.15,0.26
0,0.1,0.2
0.1,0.15,0.06
0.3,0.15,0.08
0.1,0.1,0.16
0,0,0.18
0.2,0.15,0.22
0.2,0.1,0.18
0,0.15,0.16
0.2,0.2,0.24
0.1,0.05,0.16
0.3,0.2,0.22
0.2,0.15,0.14
0.2,0.1,0.12
0.1,0.15,0.18
0.3,0.25,0.18
0.1,0.2,0.14
0.4,0.2,0.12
0.1,0.25,0.16
0.1,0.2,0.18
0.1,0.05,0.08
0.1,0.05,0.06
0,0.05,0.18
0.3,0.25,0.2
0.4,0.25,0.24
0.2,0.2,0.22
0.1,0.2,0.16
0.1,0.2,0.12
0.1,0.1,0.14
0.2,0.2,0.18
0.2,0.2,0.16
0.1,0.2,0.18
0,0.05,0.12
0.2,0.25,0.24
0.2,0.3,0.22
0.3,0.3,0.18
0.1,0.15,0.3
0.1,0.15,0.08
0.1,0.05,0.12
0,0,0.12
0.4,0.35,0.28
0.1,0.1,0.22
0.2,0.15,0.16
0.3,0.2,0.2
0.3,0.25,0.16
0,0.05,0.14
0.1,0.15,0.2
0.2,0.15,0.18
0.3,0.2,0.22
0.2,0.25,0.2
0.3,0.2,0.3
0.2,0.3,0.24
0,0,0.12
0.3,0.2,0.08
0.2,0.1,0.16
0.2,0.2,0.14
0.1,0.1,0.14
0.2,0.15,0.12
0.2,0.15,0.24
0,0.05,0.1
0.1,0.15,0.14
0.1,0.1,0.26
0.2,0.25,0.24
0.1,0.2,0.16
0.4,0.35,0.24
0.1,0.3,0.22
0.1,0.15,0.22
0.2,0.2,0.24
0.1,0.25,0.24
0,0.15,0.14
0.1,0.05,0.08
0.2,0.15,0.16
0.1,0.15,0.22
0.3,0.15,0.12
0.1,0.2,0.24
